Specie,Enzyme,EC number,Target sugar,Description,Status,Source ID (NCBI)
Chroococcidiopsis thermalis PCC 7203,maltase,3.2.1.20,maltose,Alpha-glucosidase [Chroococcidiopsis thermalis PCC 7203],🟢 Confirmed,AFY86762.1
Phaeodactylum tricornutum,maltase,3.2.1.20,maltose,diacylglycerol acyltransferase type 2 [Phaeodactylum tricornutum],🟢 Confirmed,AFQ23661.1
Phaeodactylum tricornutum,maltase,3.2.1.20,maltose,diacylglycerol acyltransferase type 2 [Phaeodactylum tricornutum],🟢 Confirmed,AFQ23660.1
Phaeodactylum tricornutum,maltase,3.2.1.20,maltose,diacylglycerol acyltransferase type 2 [Phaeodactylum tricornutum],🟢 Confirmed,AFQ23659.1
Phaeodactylum tricornutum,maltase,3.2.1.20,maltose,diacylglycerol acyltransferase type 2 [Phaeodactylum tricornutum],🟢 Confirmed,AFM37314.1
Coccomyxa subellipsoidea C-169,maltase,3.2.1.20,maltose,hypothetical protein COCSUDRAFT_21230 [Coccomyxa subellipsoidea C-169],🟡 Probable/Hypothetical,EIE27126.1
Coccomyxa subellipsoidea C-169,maltase,3.2.1.20,maltose,hypothetical protein COCSUDRAFT_64412 [Coccomyxa subellipsoidea C-169],🟡 Probable/Hypothetical,EIE26263.1
Coccomyxa subellipsoidea C-169,maltase,3.2.1.20,maltose,"hypothetical protein COCSUDRAFT_928, partial [Coccomyxa subellipsoidea C-169]",🟡 Probable/Hypothetical,EIE23322.1
Coccomyxa subellipsoidea C-169,maltase,3.2.1.20,maltose,hypothetical protein COCSUDRAFT_53571 [Coccomyxa subellipsoidea C-169],🟡 Probable/Hypothetical,EIE23320.1
Coccomyxa subellipsoidea C-169,maltase,3.2.1.20,maltose,hypothetical protein COCSUDRAFT_31111 [Coccomyxa subellipsoidea C-169],🟡 Probable/Hypothetical,EIE19743.1
Crocosphaera watsonii WH 0003,maltase,3.2.1.20,maltose,Maltodextrin glucosidase [Crocosphaera watsonii WH 0003],🟢 Confirmed,EHJ13026.1
Microcoleus vaginatus FGP-2,maltase,3.2.1.20,maltose,Alpha-glucosidase [Microcoleus vaginatus FGP-2],🟢 Confirmed,EGK88850.1
Nostoc sp. CHAB 5715,beta-amylase,3.2.1.2,starch,"family 16 glycoside hydrolase, partial [Nostoc sp. CHAB 5715]",🟡 Probable/Hypothetical,WP_229452834.1
Microcoleus sp. N3A4,beta-amylase,3.2.1.2,starch,CBM20 domain-containing protein [Microcoleus sp. N3A4],🟢 Confirmed,WP_333352502.1
unclassified Microcoleus,beta-amylase,3.2.1.2,starch,MULTISPECIES: CBM20 domain-containing protein [unclassified Microcoleus],🟢 Confirmed,WP_333084058.1
Komarekiella delphini-convector,beta-amylase,3.2.1.2,starch,CBM20 domain-containing protein [Komarekiella delphini-convector],🟢 Confirmed,WP_191755878.1
Fischerella thermalis,beta-amylase,3.2.1.2,starch,CBM20 domain-containing protein [Fischerella thermalis],🟢 Confirmed,WP_102179141.1
Trichothermofontia sp.,beta-amylase,3.2.1.2,starch,CBM20 domain-containing protein [Trichothermofontia sp.],🟢 Confirmed,WP_448563910.1
Kamptonema formosum,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Kamptonema formosum],🟢 Confirmed,WP_026098518.1
Kamptonema formosum,beta-amylase,3.2.1.2,starch,DUF1796 family putative cysteine peptidase [Kamptonema formosum],🟡 Probable/Hypothetical,WP_017715649.1
Egbenema bharatensis,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Egbenema bharatensis],🟢 Confirmed,WP_416671133.1
Microcoleus vaginatus,beta-amylase,3.2.1.2,starch,carbohydrate-binding module family 20 domain-containing protein [Microcoleus vaginatus],🟢 Confirmed,WP_445241650.1
Microcoleus vaginatus,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Microcoleus vaginatus],🟢 Confirmed,WP_242718906.1
Microcoleus vaginatus,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Microcoleus vaginatus],🟢 Confirmed,WP_006631739.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,CBM20 domain-containing protein [Nostoc sp.],🟢 Confirmed,WP_442949971.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,CBM20 domain-containing protein [Nostoc sp.],🟢 Confirmed,WP_442947873.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,carbohydrate-binding module family 20 domain-containing protein [Nostoc sp.],🟢 Confirmed,WP_442947498.1
Trebouxia sp. A48,beta-amylase,3.2.1.2,starch,hypothetical protein GTX0536_003064 [Trebouxia sp. A48],🟡 Probable/Hypothetical,CAN9486356.1
Trebouxia sp. A48,beta-amylase,3.2.1.2,starch,hypothetical protein GTX0536_003064 [Trebouxia sp. A48],🟡 Probable/Hypothetical,CAN9486355.1
Trebouxia sp. A48,beta-amylase,3.2.1.2,starch,hypothetical protein GTX0536_002710 [Trebouxia sp. A48],🟡 Probable/Hypothetical,CAN9485944.1
Thalassoporum mexicanum,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Thalassoporum mexicanum],🟢 Confirmed,WP_015163520.1
Desertifilum,beta-amylase,3.2.1.2,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [Desertifilum],🟢 Confirmed,WP_069965808.1
Trebouxia sp. C0006,beta-amylase,3.2.1.2,starch,TPA_asm: Leucine-rich repeat receptor-like serine/threonine-protein kinase bam2 [Trebouxia sp. C0006],🟢 Confirmed,DBB16885.1
Trebouxia sp. C0004,beta-amylase,3.2.1.2,starch,"TPA_asm: Leucine-rich repeat receptor-like serine/threonine-protein kinase bam2, variant 3 [Trebouxia sp. C0004]",🟢 Confirmed,DBB00150.1
Trebouxia sp. C0004,beta-amylase,3.2.1.2,starch,"TPA_asm: Leucine-rich repeat receptor-like serine/threonine-protein kinase bam2, variant 2 [Trebouxia sp. C0004]",🟢 Confirmed,DBB00149.1
Trebouxia sp. C0004,beta-amylase,3.2.1.2,starch,TPA_asm: Leucine-rich repeat receptor-like serine/threonine-protein kinase bam2 [Trebouxia sp. C0004],🟢 Confirmed,DBB00148.1
Trebouxia sp. C0005,beta-amylase,3.2.1.2,starch,TPA_asm: Leucine-rich repeat receptor-like serine/threonine-protein kinase bam2 [Trebouxia sp. C0005],🟢 Confirmed,DBA71033.1
Trebouxia sp. C0005,beta-amylase,3.2.1.2,starch,TPA_asm: Leucine-rich repeat receptor-like serine/threonine-protein kinase bam2 [Trebouxia sp. C0005],🟢 Confirmed,DBA71032.1
Phaeocystis globosa,beta-amylase,3.2.1.2,starch,"unnamed protein product, partial [Phaeocystis globosa]",🟡 Probable/Hypothetical,CAF6876126.1
Phaeocystis globosa,beta-amylase,3.2.1.2,starch,"unnamed protein product, partial [Phaeocystis globosa]",🟡 Probable/Hypothetical,CAF6876127.1
Phaeocystis globosa,beta-amylase,3.2.1.2,starch,"unnamed protein product, partial [Phaeocystis globosa]",🟡 Probable/Hypothetical,CAF6878783.1
Phaeocystis globosa,beta-amylase,3.2.1.2,starch,"unnamed protein product, partial [Phaeocystis globosa]",🟡 Probable/Hypothetical,CAF6878784.1
Phaeocystis globosa,beta-amylase,3.2.1.2,starch,"unnamed protein product, partial [Phaeocystis globosa]",🟡 Probable/Hypothetical,CAF6878785.1
Phaeocystis globosa,beta-amylase,3.2.1.2,starch,"unnamed protein product, partial [Phaeocystis globosa]",🟡 Probable/Hypothetical,CAF6881059.1
Phaeocystis globosa,beta-amylase,3.2.1.2,starch,"unnamed protein product, partial [Phaeocystis globosa]",🟡 Probable/Hypothetical,CAF6913098.1
Anabaena sp. CCY 9910,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Anabaena sp. CCY 9910],🟢 Confirmed,WP_414755041.1
Calothrix sp. CCY 0018,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Calothrix sp. CCY 0018],🟢 Confirmed,WP_414625026.1
Scytonema sp. PCC 10023,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Scytonema sp. PCC 10023],🟢 Confirmed,WP_414581468.1
Anabaena sp. CCY 9402-a,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Anabaena sp. CCY 9402-a],🟢 Confirmed,WP_414578887.1
Nostoc sp. CCY 9925,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp. CCY 9925],🟢 Confirmed,WP_414571348.1
unclassified Anabaena,beta-amylase,3.2.1.2,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [unclassified Anabaena],🟢 Confirmed,WP_414565896.1
Anabaena sp. CCY 0017,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Anabaena sp. CCY 0017],🟢 Confirmed,WP_414549504.1
Nostoc sp. CCY0012,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp. CCY0012],🟢 Confirmed,WP_414541158.1
Nodularia chucula,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nodularia chucula],🟢 Confirmed,WP_414530157.1
Synechococcus sp. H55.10,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Synechococcus sp. H55.10],🟢 Confirmed,WP_414519794.1
Nostoc sp. PCC 9305,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp. PCC 9305],🟢 Confirmed,WP_414514916.1
Cyanophyceae,beta-amylase,3.2.1.2,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [Cyanophyceae],🟢 Confirmed,WP_414358244.1
unclassified Synechococcus,beta-amylase,3.2.1.2,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [unclassified Synechococcus],🟢 Confirmed,WP_414347923.1
Floridanema evergladense,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Floridanema evergladense],🟢 Confirmed,WP_413279426.1
Floridanema evergladense,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Floridanema evergladense],🟢 Confirmed,WP_413276405.1
Floridanema aerugineum,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Floridanema aerugineum],🟢 Confirmed,WP_413273155.1
Floridanema aerugineum,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Floridanema aerugineum],🟢 Confirmed,WP_413270402.1
Floridanema flaviceps,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Floridanema flaviceps],🟢 Confirmed,WP_413268278.1
Floridanema flaviceps,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Floridanema flaviceps],🟢 Confirmed,WP_413266431.1
Floridanema fluviatile,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Floridanema fluviatile],🟢 Confirmed,WP_413255781.1
Capilliphycus salinus,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Capilliphycus salinus],🟢 Confirmed,WP_413164633.1
Nostoc sp. UIC 10607,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp. UIC 10607],🟢 Confirmed,WP_412980949.1
Vulcanococcus limneticus,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Vulcanococcus limneticus],🟢 Confirmed,WP_411868750.1
Dendronalium sp. ChiSLP03b,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Dendronalium sp. ChiSLP03b],🟢 Confirmed,WP_409878116.1
Scytonema sp. NUACC26,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Scytonema sp. NUACC26],🟢 Confirmed,WP_407890259.1
Parasynechococcus sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Parasynechococcus sp.],🟢 Confirmed,WP_407396015.1
Nostoc sp. C117,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp. C117],🟢 Confirmed,WP_392534838.1
Nostoc sp. C110,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp. C110],🟢 Confirmed,WP_392477278.1
Parasynechococcus sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Parasynechococcus sp.],🟢 Confirmed,WP_392351745.1
Coleofasciculus sp. H7-2,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Coleofasciculus sp. H7-2],🟢 Confirmed,WP_378172328.1
Almyronema epifaneia,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Almyronema epifaneia],🟢 Confirmed,WP_377963544.1
uncultured Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [uncultured Nostoc sp.],🟢 Confirmed,WP_375514872.1
uncultured Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [uncultured Nostoc sp.],🟢 Confirmed,WP_375504717.1
uncultured Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [uncultured Nostoc sp.],🟢 Confirmed,WP_375473552.1
uncultured Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [uncultured Nostoc sp.],🟢 Confirmed,WP_375468989.1
Pelatocladus sp. BLCC-F211,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Pelatocladus sp. BLCC-F211],🟢 Confirmed,WP_374867604.1
Aerosakkonema sp. BLCC-F183,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Aerosakkonema sp. BLCC-F183],🟢 Confirmed,WP_374827315.1
Aerosakkonema funiforme,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Aerosakkonema funiforme],🟢 Confirmed,WP_374792232.1
Aerosakkonema,beta-amylase,3.2.1.2,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [Aerosakkonema],🟢 Confirmed,WP_374790109.1
Microcoleus sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Microcoleus sp.],🟢 Confirmed,WP_373535558.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_373526646.1
Laspinema palackyanum,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Laspinema palackyanum],🟢 Confirmed,WP_367289186.1
Synechocystis sp. LKSZ1,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Synechocystis sp. LKSZ1],🟢 Confirmed,WP_353673894.1
Funiculus sociatus,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Funiculus sociatus],🟢 Confirmed,WP_348252788.1
Trichocoleus desertorum,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Trichocoleus desertorum],🟢 Confirmed,WP_348229152.1
[Phormidium] sp. ETS-05,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [[Phormidium] sp. ETS-05],🟢 Confirmed,WP_346341806.1
Sphaerothrix gracilis,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Sphaerothrix gracilis],🟢 Confirmed,WP_346292429.1
Okeania hirsuta,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Okeania hirsuta],🟢 Confirmed,WP_345789231.1
Chlorogloeopsis sp. ULAP02,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Chlorogloeopsis sp. ULAP02],🟢 Confirmed,WP_341994004.1
Nostoc sp. UHCC 0302,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp. UHCC 0302],🟢 Confirmed,WP_341524599.1
Nostoc punctiforme,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc punctiforme],🟢 Confirmed,WP_340091491.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335237300.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335232862.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335223989.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335218750.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335214317.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335198682.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335193718.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335192166.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335182616.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335175494.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335171582.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335166441.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335156089.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335154534.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335145867.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335141382.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335133380.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335132252.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335127679.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335127099.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335119945.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335118419.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335108719.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335101971.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335099354.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335088848.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335079324.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335068765.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335066838.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335066485.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335060579.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335057193.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335049721.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335037216.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335031030.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335020571.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335020267.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335017005.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335008838.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_335006266.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334999565.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334992164.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334992141.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334983057.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334971929.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334969816.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334961567.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334960834.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334955271.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334945711.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334943336.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334939084.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334936392.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334926493.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334922354.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334914982.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334912465.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334905662.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334902818.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334894562.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334887916.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334886997.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334881237.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334875268.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334867258.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334866516.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334856390.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334855972.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334854126.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334843079.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334834128.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334829685.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334822370.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334817092.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334806697.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334800182.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334797109.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334786915.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334786262.1
Nostoc sp.,beta-amylase,3.2.1.2,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_334780539.1
